release_no,data_type,category,subfolder,file_name,relative_path,file_size_bytes,file_status,geographic_level_detected,sex_available,age_available,notes
1,medical_acts_count,01_医科診療行為（算定回数）,A_基本診療料,入院基本料　性年齢別算定回数.xlsx,01_医科診療行為（算定回数）\A_基本診療料\入院基本料　性年齢別算定回数.xlsx,39631,exists,sex_age_national,yes,yes,
1,medical_acts_count,01_医科診療行為（算定回数）,A_基本診療料,入院基本料　都道府県別算定回数.xlsx,01_医科診療行為（算定回数）\A_基本診療料\入院基本料　都道府県別算定回数.xlsx,46824,exists,prefecture,unknown,unknown,
1,medical_acts_count,01_医科診療行為（算定回数）,A_基本診療料,入院基本料等加算　性年齢別算定回数.xlsx,01_医科診療行為（算定回数）\A_基本診療料\入院基本料等加算　性年齢別算定回数.xlsx,34053,exists,sex_age_national,yes,yes,
1,medical_acts_count,01_医科診療行為（算定回数）,A_基本診療料,入院基本料等加算　都道府県別算定回数.xlsx,01_医科診療行為（算定回数）\A_基本診療料\入院基本料等加算　都道府県別算定回数.xlsx,40474,exists,prefecture,unknown,unknown,
1,medical_acts_count,01_医科診療行為（算定回数）,A_基本診療料,初再診料　性年齢別算定回数.xlsx,01_医科診療行為（算定回数）\A_基本診療料\初再診料　性年齢別算定回数.xlsx,20918,exists,sex_age_national,yes,yes,
1,medical_acts_count,01_医科診療行為（算定回数）,A_基本診療料,初再診料　都道府県別算定回数.xlsx,01_医科診療行為（算定回数）\A_基本診療料\初再診料　都道府県別算定回数.xlsx,22818,exists,prefecture,unknown,unknown,
1,medical_acts_count,01_医科診療行為（算定回数）,A_基本診療料,特定入院料　性年齢別算定回数.xlsx,01_医科診療行為（算定回数）\A_基本診療料\特定入院料　性年齢別算定回数.xlsx,73798,exists,sex_age_national,yes,yes,
1,medical_acts_count,01_医科診療行為（算定回数）,A_基本診療料,特定入院料　都道府県別算定回数.xlsx,01_医科診療行為（算定回数）\A_基本診療料\特定入院料　都道府県別算定回数.xlsx,87160,exists,prefecture,unknown,unknown,
1,medical_acts_count,01_医科診療行為（算定回数）,B_医学管理等,性年齢別算定回数.xlsx,01_医科診療行為（算定回数）\B_医学管理等\性年齢別算定回数.xlsx,59914,exists,sex_age_national,yes,yes,
1,medical_acts_count,01_医科診療行為（算定回数）,B_医学管理等,都道府県別算定回数.xlsx,01_医科診療行為（算定回数）\B_医学管理等\都道府県別算定回数.xlsx,71042,exists,prefecture,unknown,unknown,
1,medical_acts_count,01_医科診療行為（算定回数）,C_在宅医療,性年齢別算定回数.xlsx,01_医科診療行為（算定回数）\C_在宅医療\性年齢別算定回数.xlsx,39801,exists,sex_age_national,yes,yes,
1,medical_acts_count,01_医科診療行為（算定回数）,C_在宅医療,都道府県別算定回数.xlsx,01_医科診療行為（算定回数）\C_在宅医療\都道府県別算定回数.xlsx,46791,exists,prefecture,unknown,unknown,
1,medical_acts_count,01_医科診療行為（算定回数）,D_検査,性年齢別算定回数.xlsx,01_医科診療行為（算定回数）\D_検査\性年齢別算定回数.xlsx,703771,exists,sex_age_national,yes,yes,
1,medical_acts_count,01_医科診療行為（算定回数）,D_検査,都道府県別算定回数.xlsx,01_医科診療行為（算定回数）\D_検査\都道府県別算定回数.xlsx,824965,exists,prefecture,unknown,unknown,
1,medical_acts_count,01_医科診療行為（算定回数）,E_画像診断,性年齢別算定回数.xlsx,01_医科診療行為（算定回数）\E_画像診断\性年齢別算定回数.xlsx,76965,exists,sex_age_national,yes,yes,
1,medical_acts_count,01_医科診療行為（算定回数）,E_画像診断,都道府県別算定回数.xlsx,01_医科診療行為（算定回数）\E_画像診断\都道府県別算定回数.xlsx,88357,exists,prefecture,unknown,unknown,
1,medical_acts_count,01_医科診療行為（算定回数）,H_リハビリテーション,性年齢別算定回数／単位数.xlsx,01_医科診療行為（算定回数）\H_リハビリテーション\性年齢別算定回数／単位数.xlsx,39280,exists,sex_age_national,yes,yes,
1,medical_acts_count,01_医科診療行為（算定回数）,H_リハビリテーション,都道府県別算定回数／単位数.xlsx,01_医科診療行為（算定回数）\H_リハビリテーション\都道府県別算定回数／単位数.xlsx,45448,exists,prefecture,unknown,unknown,
1,medical_acts_count,01_医科診療行為（算定回数）,I_精神科専門療法料,性年齢別算定回数.xlsx,01_医科診療行為（算定回数）\I_精神科専門療法料\性年齢別算定回数.xlsx,38934,exists,sex_age_national,yes,yes,
1,medical_acts_count,01_医科診療行為（算定回数）,I_精神科専門療法料,都道府県別算定回数.xlsx,01_医科診療行為（算定回数）\I_精神科専門療法料\都道府県別算定回数.xlsx,44402,exists,prefecture,unknown,unknown,
1,medical_acts_count,01_医科診療行為（算定回数）,J_処置,性年齢別算定回数.xlsx,01_医科診療行為（算定回数）\J_処置\性年齢別算定回数.xlsx,190882,exists,sex_age_national,yes,yes,
1,medical_acts_count,01_医科診療行為（算定回数）,J_処置,都道府県別算定回数.xlsx,01_医科診療行為（算定回数）\J_処置\都道府県別算定回数.xlsx,224129,exists,prefecture,unknown,unknown,
1,medical_acts_count,01_医科診療行為（算定回数）,K_手術,款別性年齢別算定回数.xlsx,01_医科診療行為（算定回数）\K_手術\款別性年齢別算定回数.xlsx,597301,exists,sex_age_national,yes,yes,
1,medical_acts_count,01_医科診療行為（算定回数）,K_手術,款別都道府県別算定回数.xlsx,01_医科診療行為（算定回数）\K_手術\款別都道府県別算定回数.xlsx,702366,exists,prefecture,unknown,unknown,
1,medical_acts_count,01_医科診療行為（算定回数）,L_麻酔,性年齢別算定回数.xlsx,01_医科診療行為（算定回数）\L_麻酔\性年齢別算定回数.xlsx,71978,exists,sex_age_national,yes,yes,
1,medical_acts_count,01_医科診療行為（算定回数）,L_麻酔,都道府県別算定回数.xlsx,01_医科診療行為（算定回数）\L_麻酔\都道府県別算定回数.xlsx,81698,exists,prefecture,unknown,unknown,
1,medical_acts_count,01_医科診療行為（算定回数）,M_放射線治療,性年齢別算定回数.xlsx,01_医科診療行為（算定回数）\M_放射線治療\性年齢別算定回数.xlsx,36851,exists,sex_age_national,yes,yes,
1,medical_acts_count,01_医科診療行為（算定回数）,M_放射線治療,都道府県別算定回数.xlsx,01_医科診療行為（算定回数）\M_放射線治療\都道府県別算定回数.xlsx,41879,exists,prefecture,unknown,unknown,
1,medical_acts_count,01_医科診療行為（算定回数）,N_病理診断,性年齢別算定回数.xlsx,01_医科診療行為（算定回数）\N_病理診断\性年齢別算定回数.xlsx,26501,exists,sex_age_national,yes,yes,
1,medical_acts_count,01_医科診療行為（算定回数）,N_病理診断,都道府県別算定回数.xlsx,01_医科診療行為（算定回数）\N_病理診断\都道府県別算定回数.xlsx,29559,exists,prefecture,unknown,unknown,
1,dental_diseases,04_歯科傷病,,性年齢別　傷病件数.xlsx,04_歯科傷病\性年齢別　傷病件数.xlsx,47558,exists,sex_age_national,yes,yes,
1,dental_diseases,04_歯科傷病,,都道府県別　傷病件数.xlsx,04_歯科傷病\都道府県別　傷病件数.xlsx,53745,exists,prefecture,unknown,unknown,
1,prescriptions,05_処方薬,01_処方薬（内服／外用／注射）,内服　入院　性年齢別薬効分類別数量.xlsx,05_処方薬\01_処方薬（内服／外用／注射）\内服　入院　性年齢別薬効分類別数量.xlsx,783733,exists,sex_age_national,yes,yes,
1,prescriptions,05_処方薬,01_処方薬（内服／外用／注射）,内服　入院　都道府県別薬効分類別数量.xlsx,05_処方薬\01_処方薬（内服／外用／注射）\内服　入院　都道府県別薬効分類別数量.xlsx,894552,exists,prefecture,unknown,unknown,
1,prescriptions,05_処方薬,01_処方薬（内服／外用／注射）,内服　外来（院内）　性年齢別薬効分類別数量.xlsx,05_処方薬\01_処方薬（内服／外用／注射）\内服　外来（院内）　性年齢別薬効分類別数量.xlsx,839235,exists,sex_age_national,yes,yes,
1,prescriptions,05_処方薬,01_処方薬（内服／外用／注射）,内服　外来（院内）　都道府県別薬効分類別数量.xlsx,05_処方薬\01_処方薬（内服／外用／注射）\内服　外来（院内）　都道府県別薬効分類別数量.xlsx,970003,exists,prefecture,unknown,unknown,
1,prescriptions,05_処方薬,01_処方薬（内服／外用／注射）,内服　外来（院外）　性年齢別薬効分類別数量.xlsx,05_処方薬\01_処方薬（内服／外用／注射）\内服　外来（院外）　性年齢別薬効分類別数量.xlsx,871563,exists,sex_age_national,yes,yes,
1,prescriptions,05_処方薬,01_処方薬（内服／外用／注射）,内服　外来（院外）　都道府県別薬効分類別数量.xlsx,05_処方薬\01_処方薬（内服／外用／注射）\内服　外来（院外）　都道府県別薬効分類別数量.xlsx,1030210,exists,prefecture,unknown,unknown,
1,prescriptions,05_処方薬,01_処方薬（内服／外用／注射）,外用　性年齢別薬効分類別数量.xlsx,05_処方薬\01_処方薬（内服／外用／注射）\外用　性年齢別薬効分類別数量.xlsx,828912,exists,sex_age_national,yes,yes,
1,prescriptions,05_処方薬,01_処方薬（内服／外用／注射）,外用　都道府県別薬効分類別数量.xlsx,05_処方薬\01_処方薬（内服／外用／注射）\外用　都道府県別薬効分類別数量.xlsx,903246,exists,prefecture,unknown,unknown,
1,prescriptions,05_処方薬,01_処方薬（内服／外用／注射）,注射　性年齢別薬効分類別数量.xlsx,05_処方薬\01_処方薬（内服／外用／注射）\注射　性年齢別薬効分類別数量.xlsx,1279463,exists,sex_age_national,yes,yes,
1,prescriptions,05_処方薬,01_処方薬（内服／外用／注射）,注射　都道府県別薬効分類別数量.xlsx,05_処方薬\01_処方薬（内服／外用／注射）\注射　都道府県別薬効分類別数量.xlsx,1429571,exists,prefecture,unknown,unknown,
1,health_checkup_exam,07_特定健診 検査,受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,BMI　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\BMI　都道府県別性年齢階級別分布.xlsx,53018,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,GOT（AST）　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\GOT（AST）　都道府県別性年齢階級別分布.xlsx,28784,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,GPT（ALT）　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\GPT（ALT）　都道府県別性年齢階級別分布.xlsx,29084,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,HbA1C　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\HbA1C　都道府県別性年齢階級別分布.xlsx,63219,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,HDLコレステロール　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\HDLコレステロール　都道府県別性年齢階級別分布.xlsx,34025,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,LDLコレステロール　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\LDLコレステロール　都道府県別性年齢階級別分布.xlsx,53095,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,γ-GT（γ-GTP）　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\γ-GT（γ-GTP）　都道府県別性年齢階級別分布.xlsx,29059,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,ヘモグロビン　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\ヘモグロビン　都道府県別性年齢階級別分布.xlsx,27977,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,中性脂肪　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\中性脂肪　都道府県別性年齢階級別分布.xlsx,29108,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,収縮期血圧　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\収縮期血圧　都道府県別性年齢階級別分布.xlsx,58647,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,各項目の平均値　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\各項目の平均値　都道府県別性年齢階級別分布.xlsx,165734,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,拡張期血圧　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\拡張期血圧　都道府県別性年齢階級別分布.xlsx,46192,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,眼底検査（SCOTT分類)　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\眼底検査（SCOTT分類)　都道府県別性年齢階級別分布.xlsx,39529,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,眼底検査（キースワグナー分類）　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\眼底検査（キースワグナー分類）　都道府県別性年齢階級別分布.xlsx,33391,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,眼底検査（シェイエ分類：H）　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\眼底検査（シェイエ分類：H）　都道府県別性年齢階級別分布.xlsx,30369,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,眼底検査（シェイエ分類：S）　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\眼底検査（シェイエ分類：S）　都道府県別性年齢階級別分布.xlsx,30667,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,空腹時血糖　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\空腹時血糖　都道府県別性年齢階級別分布.xlsx,41164,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,腹囲　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\受診時年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\腹囲　都道府県別性年齢階級別分布.xlsx,35622,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,BMI　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\BMI　都道府県別性年齢階級別分布.xlsx,42690,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,GOT（AST）　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\GOT（AST）　都道府県別性年齢階級別分布.xlsx,28351,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,GPT（ALT）　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\GPT（ALT）　都道府県別性年齢階級別分布.xlsx,28660,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,HbA1C　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\HbA1C　都道府県別性年齢階級別分布.xlsx,48448,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,HDLコレステロール　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\HDLコレステロール　都道府県別性年齢階級別分布.xlsx,27885,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,LDLコレステロール　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\LDLコレステロール　都道府県別性年齢階級別分布.xlsx,50266,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,γ-GT（γ-GTP）　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\γ-GT（γ-GTP）　都道府県別性年齢階級別分布.xlsx,28529,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,ヘモグロビン　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\ヘモグロビン　都道府県別性年齢階級別分布.xlsx,26817,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,中性脂肪　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\中性脂肪　都道府県別性年齢階級別分布.xlsx,28530,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,収縮期血圧　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\収縮期血圧　都道府県別性年齢階級別分布.xlsx,49486,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,各項目の平均値　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\各項目の平均値　都道府県別性年齢階級別分布.xlsx,162891,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,拡張期血圧　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\拡張期血圧　都道府県別性年齢階級別分布.xlsx,48929,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,眼底検査（SCOTT分類)　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\眼底検査（SCOTT分類)　都道府県別性年齢階級別分布.xlsx,38513,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,眼底検査（キースワグナー分類）　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\眼底検査（キースワグナー分類）　都道府県別性年齢階級別分布.xlsx,33292,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,眼底検査（シェイエ分類：H）　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\眼底検査（シェイエ分類：H）　都道府県別性年齢階級別分布.xlsx,33295,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,眼底検査（シェイエ分類：S）　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\眼底検査（シェイエ分類：S）　都道府県別性年齢階級別分布.xlsx,30333,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,空腹時血糖　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\空腹時血糖　都道府県別性年齢階級別分布.xlsx,36320,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,腹囲　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\年度末年齢での集計\（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの\腹囲　都道府県別性年齢階級別分布.xlsx,28768,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,年度末年齢での集計\（※2）NDBの特定健診情報のうち、基本情報レコード、健診結果・問診結果情報レコード、詳細情報レコードを集計したもの,ヘモグロビン　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\年度末年齢での集計\（※2）NDBの特定健診情報のうち、基本情報レコード、健診結果・問診結果情報レコード、詳細情報レコードを集計したもの\ヘモグロビン　都道府県別性年齢階級別分布.xlsx,58234,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,年度末年齢での集計\（※2）NDBの特定健診情報のうち、基本情報レコード、健診結果・問診結果情報レコード、詳細情報レコードを集計したもの,眼底検査（SCOTT分類)　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\年度末年齢での集計\（※2）NDBの特定健診情報のうち、基本情報レコード、健診結果・問診結果情報レコード、詳細情報レコードを集計したもの\眼底検査（SCOTT分類)　都道府県別性年齢階級別分布.xlsx,69114,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,年度末年齢での集計\（※2）NDBの特定健診情報のうち、基本情報レコード、健診結果・問診結果情報レコード、詳細情報レコードを集計したもの,眼底検査（キースワグナー分類）　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\年度末年齢での集計\（※2）NDBの特定健診情報のうち、基本情報レコード、健診結果・問診結果情報レコード、詳細情報レコードを集計したもの\眼底検査（キースワグナー分類）　都道府県別性年齢階級別分布.xlsx,65009,exists,prefecture,yes,yes,
1,health_checkup_exam,07_特定健診 検査,年度末年齢での集計\（※2）NDBの特定健診情報のうち、基本情報レコード、健診結果・問診結果情報レコード、詳細情報レコードを集計したもの,眼底検査（シェイエ分類：H）　都道府県別性年齢階級別分布.xlsx,07_特定健診 検査\年度末年齢での集計\（※2）NDBの特定健診情報のうち、基本情報レコード、健診結果・問診結果情報レコード、詳細情報レコードを集計したもの\眼底検査（シェイエ分類：H）　都道府県別性年齢階級別分布.xlsx,61471,exists,prefecture,yes,yes,
